code,nick,date,open,highest,lowest,close,ROI,changerange
0050,台灣50,20090521,46.16,46.34,45.60,45.95,-0.7559,-0.35
0050,台灣50,20090522,45.50,46.29,45.50,45.78,-0.3700,-0.17
0050,台灣50,20090525,46.30,46.72,45.50,45.73,-0.1092,-0.05
0050,台灣50,20090526,45.68,46.24,45.58,45.60,-0.2843,-0.13
0050,台灣50,20090527,46.10,48.14,46.10,48.00,5.2632,2.40
0050,台灣50,20090601,48.08,48.18,47.52,47.72,-0.5833,-0.28
0050,台灣50,20090602,48.15,48.65,47.57,47.85,0.2724,0.13
0050,台灣50,20090603,47.82,47.88,47.51,47.79,-0.1254,-0.06
0050,台灣50,20090604,47.70,47.75,46.33,46.70,-2.2808,-1.09
0050,台灣50,20090605,46.79,46.89,46.40,46.62,-0.1713,-0.08
0050,台灣50,20090606,46.65,46.90,46.59,46.90,0.6006,0.28
0050,台灣50,20090608,47.40,47.40,45.62,45.71,-2.5373,-1.19
0050,台灣50,20090609,45.76,45.76,44.28,44.45,-2.7565,-1.26
0050,台灣50,20090610,44.70,45.05,44.46,44.85,0.8999,0.40
0050,台灣50,20090611,44.85,45.30,44.00,45.25,0.8919,0.40
0050,台灣50,20090612,45.26,45.29,44.43,44.66,-1.3039,-0.59
0050,台灣50,20090615,44.30,44.30,42.84,43.04,-3.6274,-1.62
0050,台灣50,20090616,43.04,43.38,42.70,43.05,0.0232,0.01
0050,台灣50,20090617,43.05,43.49,42.90,42.97,-0.1858,-0.08
0050,台灣50,20090618,42.97,43.30,42.40,42.75,-0.5120,-0.22
0050,台灣50,20090619,42.75,43.25,42.65,43.25,1.1696,0.50
0050,台灣50,20090622,43.07,44.05,42.80,43.90,1.5029,0.65
0050,台灣50,20090623,42.85,43.10,42.80,42.85,-2.3918,-1.05
0050,台灣50,20090624,42.80,45.77,42.73,44.08,2.8705,1.23
0050,台灣50,20090625,44.35,44.79,44.10,44.58,1.1343,0.50
0050,台灣50,20090626,44.75,44.82,44.48,44.60,0.0449,0.02
0050,台灣50,20090629,44.80,44.90,44.09,44.28,-0.7175,-0.32
0050,台灣50,20090630,44.88,44.89,44.08,44.46,0.4065,0.18
0050,台灣50,20090701,44.48,45.65,44.45,45.45,2.2267,0.99
0050,台灣50,20090702,45.60,46.00,45.48,45.90,0.9901,0.45
0050,台灣50,20090703,45.45,46.10,45.40,45.80,-0.2179,-0.10
0050,台灣50,20090706,45.80,45.90,45.36,45.69,-0.2402,-0.11
0050,台灣50,20090707,45.40,46.37,45.40,46.19,1.0943,0.50
0050,台灣50,20090708,45.77,45.86,45.42,45.66,-1.1474,-0.53
0050,台灣50,20090709,45.88,46.75,45.80,46.50,1.8397,0.84
0050,台灣50,20090710,46.62,46.88,46.37,46.78,0.6022,0.28
0050,台灣50,20090713,46.75,47.10,45.00,45.30,-3.1637,-1.48
0050,台灣50,20090714,45.68,46.19,45.59,46.14,1.8543,0.84
0050,台灣50,20090715,46.37,47.21,46.37,47.05,1.9723,0.91
0050,台灣50,20090716,47.60,47.88,47.21,47.45,0.8502,0.40
0050,台灣50,20090717,47.60,48.07,47.34,47.87,0.8851,0.42
0050,台灣50,20090720,48.42,48.51,47.87,48.50,1.3161,0.63
0050,台灣50,20090721,48.50,48.67,48.05,48.40,-0.2062,-0.10
0050,台灣50,20090722,48.70,48.95,48.35,48.48,0.1653,0.08
0050,台灣50,20090723,48.48,48.80,48.00,48.51,0.0619,0.03
0050,台灣50,20090724,48.80,49.00,48.29,48.38,-0.2680,-0.13
0050,台灣50,20090727,48.50,49.20,48.41,48.83,0.9301,0.45
0050,台灣50,20090728,48.83,49.78,48.83,49.70,1.7817,0.87
0050,台灣50,20090729,49.70,49.94,49.04,49.35,-0.7042,-0.35
0050,台灣50,20090730,49.12,49.20,48.13,48.85,-1.0132,-0.50
0050,台灣50,20090731,49.11,49.58,48.95,49.02,0.3480,0.17
0050,台灣50,20090803,49.10,49.25,48.60,49.19,0.3468,0.17
0050,台灣50,20090804,49.58,49.65,48.13,48.65,-1.0978,-0.54
0050,台灣50,20090805,48.62,48.96,47.81,48.05,-1.2333,-0.60
0050,台灣50,20090806,48.05,48.35,47.66,48.14,0.1873,0.09
0050,台灣50,20090810,48.00,48.44,47.90,48.26,0.2493,0.12
0050,台灣50,20090811,48.30,48.50,47.74,48.42,0.3315,0.16
0050,台灣50,20090812,48.20,48.45,48.00,48.25,-0.3511,-0.17
0050,台灣50,20090813,48.50,49.42,48.40,49.36,2.3005,1.11
0050,台灣50,20090814,49.64,50.10,49.43,49.62,0.5267,0.26
