code,nick,date,open,highest,lowest,close,ROI,changerange
2330,台積電,19950105,157.00,158.00,155.00,155.00,-1.2739,-2.00
2330,台積電,19950106,156.00,156.00,154.00,154.00,-0.6452,-1.00
2330,台積電,19950107,154.00,155.00,153.00,154.00,0.0000,0.00
2330,台積電,19950109,154.00,154.00,151.00,151.00,-1.9481,-3.00
2330,台積電,19950110,151.00,151.00,148.00,150.00,-0.6623,-1.00
2330,台積電,19950111,149.00,150.00,149.00,149.50,-0.3333,-0.50
2330,台積電,19950112,150.00,150.00,148.00,148.00,-1.0033,-1.50
2330,台積電,19950113,148.00,149.00,146.00,146.00,-1.3514,-2.00
2330,台積電,19950114,146.00,146.00,139.00,140.00,-4.1096,-6.00
2330,台積電,19950116,140.00,141.00,136.00,137.50,-1.7857,-2.50
2330,台積電,19950117,137.50,138.00,137.00,137.00,-0.3636,-0.50
2330,台積電,19950118,138.00,139.00,138.00,138.50,1.0949,1.50
2330,台積電,19950119,140.00,148.00,139.00,145.00,4.6931,6.50
2330,台積電,19950120,145.00,145.00,140.00,141.50,-2.4138,-3.50
2330,台積電,19950121,141.00,146.50,140.00,146.50,3.5336,5.00
2330,台積電,19950123,146.00,146.50,140.00,140.00,-4.4369,-6.50
2330,台積電,19950124,138.50,140.00,138.00,139.00,-0.7143,-1.00
2330,台積電,19950125,139.00,143.00,139.00,143.00,2.8777,4.00
2330,台積電,19950126,143.00,143.00,140.00,141.00,-1.3986,-2.00
2330,台積電,19950204,145.00,145.00,143.00,143.00,1.4184,2.00
2330,台積電,19950206,143.00,148.00,142.00,148.00,3.4965,5.00
2330,台積電,19950207,148.00,150.00,147.00,147.50,-0.3378,-0.50
2330,台積電,19950208,148.00,148.50,146.00,146.50,-0.6780,-1.00
2330,台積電,19950209,147.00,148.50,147.00,147.00,0.3413,0.50
2330,台積電,19950210,147.00,149.00,147.00,148.50,1.0204,1.50
2330,台積電,19950211,149.50,150.00,149.00,150.00,1.0101,1.50
2330,台積電,19950213,150.00,152.00,149.00,149.00,-0.6667,-1.00
2330,台積電,19950214,149.00,149.50,148.00,148.50,-0.3356,-0.50
2330,台積電,19950215,149.00,154.00,149.00,152.00,2.3569,3.50
2330,台積電,19950216,153.00,158.00,153.00,156.00,2.6316,4.00
2330,台積電,19950217,156.00,158.00,155.00,158.00,1.2821,2.00
2330,台積電,19950218,158.00,159.00,156.00,156.00,-1.2658,-2.00
2330,台積電,19950220,156.00,157.00,153.00,153.00,-1.9231,-3.00
2330,台積電,19950221,153.00,156.00,153.00,156.00,1.9608,3.00
2330,台積電,19950222,156.00,158.00,154.00,158.00,1.2821,2.00
2330,台積電,19950223,158.00,158.00,156.00,157.00,-0.6329,-1.00
2330,台積電,19950224,157.00,162.00,157.00,160.00,1.9108,3.00
2330,台積電,19950225,160.00,161.00,160.00,161.00,0.6250,1.00
2330,台積電,19950227,156.00,157.00,150.00,156.00,-3.1056,-5.00
2330,台積電,19950228,155.00,155.00,153.00,155.00,-0.6410,-1.00
2330,台積電,19950301,153.00,153.00,148.00,148.00,-4.5161,-7.00
2330,台積電,19950302,148.00,151.00,148.00,151.00,2.0270,3.00
2330,台積電,19950303,151.00,153.00,150.00,153.00,1.3245,2.00
2330,台積電,19950304,154.00,155.00,153.00,155.00,1.3072,2.00
2330,台積電,19950306,155.00,156.00,154.00,156.00,0.6452,1.00
2330,台積電,19950307,156.00,159.00,154.00,159.00,1.9231,3.00
2330,台積電,19950308,158.00,160.00,156.00,157.00,-1.2579,-2.00
2330,台積電,19950309,160.00,161.00,159.00,159.00,1.2739,2.00
2330,台積電,19950310,160.00,161.00,159.00,160.00,0.6289,1.00
2330,台積電,19950311,161.00,161.00,159.00,160.00,0.0000,0.00
2330,台積電,19950313,161.00,163.00,161.00,163.00,1.8750,3.00
2330,台積電,19950314,163.00,163.00,160.00,161.00,-1.2270,-2.00
2330,台積電,19950315,162.00,165.00,162.00,164.00,1.8634,3.00
2330,台積電,19950316,165.00,165.00,163.00,164.00,0.0000,0.00
2330,台積電,19950317,165.00,167.00,165.00,166.00,1.2195,2.00
2330,台積電,19950318,166.00,166.00,164.00,164.00,-1.2048,-2.00
2330,台積電,19950320,166.00,166.00,164.00,166.00,1.2195,2.00
2330,台積電,19950321,166.00,167.00,165.00,165.00,-0.6024,-1.00
2330,台積電,19950322,164.00,165.00,160.00,165.00,0.0000,0.00
2330,台積電,19950323,164.00,166.00,164.00,166.00,0.6061,1.00
2330,台積電,19950324,166.00,167.00,165.00,166.00,0.0000,0.00
2330,台積電,19950325,167.00,172.00,167.00,170.00,2.4096,4.00
2330,台積電,19950327,170.00,173.00,168.00,173.00,1.7647,3.00
2330,台積電,19950328,175.00,175.00,172.00,175.00,1.1561,2.00
2330,台積電,19950330,176.00,185.00,175.00,185.00,5.7143,10.00
2330,台積電,19950331,185.00,189.00,181.00,188.00,1.6216,3.00
2330,台積電,19950401,189.00,190.00,183.00,186.00,-1.0638,-2.00
2330,台積電,19950406,187.00,192.00,187.00,190.00,2.1505,4.00
2330,台積電,19950407,191.00,192.00,184.00,186.00,-2.1053,-4.00
2330,台積電,19950408,184.00,186.00,181.00,185.00,-0.5376,-1.00
2330,台積電,19950410,185.00,187.00,183.00,186.00,0.5405,1.00
2330,台積電,19950411,186.00,190.00,186.00,187.00,0.5376,1.00
